,Cities,Country,Temperature,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Longitude,Latitude,Date
524,Fort Nelson,CA,55.4,55.4,55.4,71,75,0.6,-122.69,58.81,2019-10-03 03:10:48
525,Nong Khai,TH,85.55,84.2,87.8,70,20,4.7,102.75,17.88,2019-10-03 03:10:49
526,Zhireken,RU,40.95,40.95,40.95,28,0,3.78,117.29,52.82,2019-10-03 03:10:50
527,Benjamin Aceval,PY,64.4,64.4,64.4,88,90,6.93,-57.57,-24.97,2019-10-03 03:10:51
528,Ugoofaaru,MV,83.27,83.27,83.27,71,45,7.36,73.0,5.67,2019-10-03 03:10:53
529,Luau,CD,67.18,67.18,67.18,79,24,1.36,22.23,-10.7,2019-10-03 03:10:54
530,Zhigalovo,RU,37.08,37.08,37.08,51,69,5.03,105.15,54.81,2019-10-03 03:10:55
531,Bedele,ET,53.59,53.59,53.59,96,1,3.67,36.35,8.46,2019-10-03 03:10:56
532,Challans,FR,48.31,46.4,50.0,81,90,5.82,-1.88,46.85,2019-10-03 03:10:57
533,West Odessa,US,80.6,79.0,82.4,51,75,11.41,-102.48,31.84,2019-10-03 03:10:59
534,Nouadhibou,MR,82.4,82.4,82.4,48,36,14.99,-17.03,20.93,2019-10-03 03:11:00
535,Qorveh,IR,47.25,47.25,47.25,65,7,0.49,47.8,35.17,2019-10-03 03:11:01
536,Lianzhou,CN,85.59,85.59,85.59,42,0,3.06,112.38,24.79,2019-10-03 03:11:03
537,Egvekinot,RU,29.42,29.42,29.42,93,100,2.48,-179.17,66.32,2019-10-03 03:11:04
